"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","2019",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","19101353832.7371",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","94635415869.9851",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","15278077446.8643",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","3154057987.23833",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","2815410447182.25",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","421142267937.65",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","449663446954.073",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","13672802157.8324",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","1727759259.25926",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","1392680589329.14",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","446314739528.47",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","48047647058.8235",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","3012334881.64057",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","529606710418.038",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","14390709094.9386",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","15745810234.6602",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","302571254131.135",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","67927179736.6915",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","38574069148.9362",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","12827000000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","20047848434.5487",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","63080457022.6599",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","1879613600",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","40895322865.4124",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","1839758040765.62",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","5209000000",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","13469422941.3919",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","",
"Botswana","BWA","GDP (current US$)","NY.GDP.MKTP.CD","18340510789.4272",
"Central African Republic","CAF","GDP (current US$)","NY.GDP.MKTP.CD","2220307368.69593",
"Canada","CAN","GDP (current US$)","NY.GDP.MKTP.CD","1736425629519.96",
"Central Europe and the Baltics","CEB","GDP (current US$)","NY.GDP.MKTP.CD","1656928913107.65",
"Switzerland","CHE","GDP (current US$)","NY.GDP.MKTP.CD","703082435360.117",
"Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD","",
"Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD","282318159744.65",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","14342902842915.9",
"Cote d'Ivoire","CIV","GDP (current US$)","NY.GDP.MKTP.CD","58792205642.1538",
"Cameroon","CMR","GDP (current US$)","NY.GDP.MKTP.CD","38760467033.389",
"Congo, Dem. Rep.","COD","GDP (current US$)","NY.GDP.MKTP.CD","47319624204.0938",
"Congo, Rep.","COG","GDP (current US$)","NY.GDP.MKTP.CD","10820591130.7349",
"Colombia","COL","GDP (current US$)","NY.GDP.MKTP.CD","323802808108.246",
"Comoros","COM","GDP (current US$)","NY.GDP.MKTP.CD","1185728676.65112",
"Cabo Verde","CPV","GDP (current US$)","NY.GDP.MKTP.CD","1981845740.70615",
"Costa Rica","CRI","GDP (current US$)","NY.GDP.MKTP.CD","61773944173.6736",
"Caribbean small states","CSS","GDP (current US$)","NY.GDP.MKTP.CD","76290373254.4853",
"Cuba","CUB","GDP (current US$)","NY.GDP.MKTP.CD","",
"Curacao","CUW","GDP (current US$)","NY.GDP.MKTP.CD","",
"Cayman Islands","CYM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Cyprus","CYP","GDP (current US$)","NY.GDP.MKTP.CD","24564647934.6244",
"Czech Republic","CZE","GDP (current US$)","NY.GDP.MKTP.CD","246489245494.882",
"Germany","DEU","GDP (current US$)","NY.GDP.MKTP.CD","3845630030823.52",
"Djibouti","DJI","GDP (current US$)","NY.GDP.MKTP.CD","3318716359.44182",
"Dominica","DMA","GDP (current US$)","NY.GDP.MKTP.CD","596033333.333333",
"Denmark","DNK","GDP (current US$)","NY.GDP.MKTP.CD","348078018463.905",
"Dominican Republic","DOM","GDP (current US$)","NY.GDP.MKTP.CD","88941298257.7215",
"Algeria","DZA","GDP (current US$)","NY.GDP.MKTP.CD","169988236398.126",
"East Asia & Pacific (excluding high income)","EAP","GDP (current US$)","NY.GDP.MKTP.CD","17214358920071.6",
"Early-demographic dividend","EAR","GDP (current US$)","NY.GDP.MKTP.CD","11981574482646.9",
"East Asia & Pacific","EAS","GDP (current US$)","NY.GDP.MKTP.CD","26979805534122.7",
"Europe & Central Asia (excluding high income)","ECA","GDP (current US$)","NY.GDP.MKTP.CD","3239459350297.98",
"Europe & Central Asia","ECS","GDP (current US$)","NY.GDP.MKTP.CD","22748788538189.8",
"Ecuador","ECU","GDP (current US$)","NY.GDP.MKTP.CD","107435665000",
"Egypt, Arab Rep.","EGY","GDP (current US$)","NY.GDP.MKTP.CD","303175127597.521",
"Euro area","EMU","GDP (current US$)","NY.GDP.MKTP.CD","13335843259019.7",
"Eritrea","ERI","GDP (current US$)","NY.GDP.MKTP.CD","",
"Spain","ESP","GDP (current US$)","NY.GDP.MKTP.CD","1394116310768.63",
"Estonia","EST","GDP (current US$)","NY.GDP.MKTP.CD","31386949981.236",
"Ethiopia","ETH","GDP (current US$)","NY.GDP.MKTP.CD","96107662398.1749",
"European Union","EUU","GDP (current US$)","NY.GDP.MKTP.CD","15592795166700.2",
"Fragile and conflict affected situations","FCS","GDP (current US$)","NY.GDP.MKTP.CD","1748172226307.84",
"Finland","FIN","GDP (current US$)","NY.GDP.MKTP.CD","268761201364.705",
"Fiji","FJI","GDP (current US$)","NY.GDP.MKTP.CD","5535548972.41252",
"France","FRA","GDP (current US$)","NY.GDP.MKTP.CD","2715518274227.45",
"Faroe Islands","FRO","GDP (current US$)","NY.GDP.MKTP.CD","",
"Micronesia, Fed. Sts.","FSM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Gabon","GAB","GDP (current US$)","NY.GDP.MKTP.CD","16657960228.0892",
"United Kingdom","GBR","GDP (current US$)","NY.GDP.MKTP.CD","2827113184695.58",
"Georgia","GEO","GDP (current US$)","NY.GDP.MKTP.CD","17743195770.1998",
"Ghana","GHA","GDP (current US$)","NY.GDP.MKTP.CD","66983634223.943",
"Gibraltar","GIB","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guinea","GIN","GDP (current US$)","NY.GDP.MKTP.CD","13590281808.6928",
"Gambia, The","GMB","GDP (current US$)","NY.GDP.MKTP.CD","1763819047.69838",
"Guinea-Bissau","GNB","GDP (current US$)","NY.GDP.MKTP.CD","1340389410.76003",
"Equatorial Guinea","GNQ","GDP (current US$)","NY.GDP.MKTP.CD","11026774945.3415",
"Greece","GRC","GDP (current US$)","NY.GDP.MKTP.CD","209852761468.681",
"Grenada","GRD","GDP (current US$)","NY.GDP.MKTP.CD","1228170370.37037",
"Greenland","GRL","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guatemala","GTM","GDP (current US$)","NY.GDP.MKTP.CD","76710385879.6627",
"Guam","GUM","GDP (current US$)","NY.GDP.MKTP.CD","",
"Guyana","GUY","GDP (current US$)","NY.GDP.MKTP.CD","4280443645.08393",
"High income","HIC","GDP (current US$)","NY.GDP.MKTP.CD","55045371946278.3",
"Hong Kong SAR, China","HKG","GDP (current US$)","NY.GDP.MKTP.CD","366029556273.051",
"Honduras","HND","GDP (current US$)","NY.GDP.MKTP.CD","25095395475.0393",
"Heavily indebted poor countries (HIPC)","HPC","GDP (current US$)","NY.GDP.MKTP.CD","759266600603.65",
"Croatia","HRV","GDP (current US$)","NY.GDP.MKTP.CD","60415553038.8826",
"Haiti","HTI","GDP (current US$)","NY.GDP.MKTP.CD","8498981820.87012",
"Hungary","HUN","GDP (current US$)","NY.GDP.MKTP.CD","160967157503.612",
"IBRD only","IBD","GDP (current US$)","NY.GDP.MKTP.CD","31618204428931.7",
"IDA & IBRD total","IBT","GDP (current US$)","NY.GDP.MKTP.CD","33912132433932.9",
"IDA total","IDA","GDP (current US$)","NY.GDP.MKTP.CD","2301372398524.79",
"IDA blend","IDB","GDP (current US$)","NY.GDP.MKTP.CD","989721112790.581",
"Indonesia","IDN","GDP (current US$)","NY.GDP.MKTP.CD","1119190780752.8",
"IDA only","IDX","GDP (current US$)","NY.GDP.MKTP.CD","1315248865134.09",
"Isle of Man","IMN","GDP (current US$)","NY.GDP.MKTP.CD","",
"India","IND","GDP (current US$)","NY.GDP.MKTP.CD","2875142314811.85",
"Not classified","INX","GDP (current US$)","NY.GDP.MKTP.CD","",
"Ireland","IRL","GDP (current US$)","NY.GDP.MKTP.CD","388698711348.156",
"Iran, Islamic Rep.","IRN","GDP (current US$)","NY.GDP.MKTP.CD","",
"Iraq","IRQ","GDP (current US$)","NY.GDP.MKTP.CD","234094042938.917",
"Iceland","ISL","GDP (current US$)","NY.GDP.MKTP.CD","24188035738.7846",
"Israel","ISR","GDP (current US$)","NY.GDP.MKTP.CD","395098666121.616",
"Italy","ITA","GDP (current US$)","NY.GDP.MKTP.CD","2001244392041.57",
"Jamaica","JAM","GDP (current US$)","NY.GDP.MKTP.CD","16458071067.8176",
"Jordan","JOR","GDP (current US$)","NY.GDP.MKTP.CD","43743661971.831",
"Japan","JPN","GDP (current US$)","NY.GDP.MKTP.CD","5081769542379.77",
