"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","1873452513.96648","1920111731.84358","1941340782.12291","2021229050.27933","2228491620.11173","2330726256.98324","2424581005.58659","2615083798.88268","2745251396.64804","2498882681.56425","2390502793.29609","2549720670.39106","2534636871.50838","2701675977.65363","2765363128.49162","2919553072.6257","2965921787.7095","3056424581.00559","","","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","","","4055179566.34981","4515558808.10994","5226778808.89209","6209137624.77181","6971285594.68013","9747879531.86311","10109225813.6696","12439087076.7667","15856574731.441","17804292964.1045","20001598505.7042","20561069558.2152","20484885119.7348","19907111418.9938","18017749073.9033","18869945677.9599","18353881129.881","19291104007.8299","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","9129594818.60749","8936063723.20121","15285594828.418","17812705294.325","23552052407.5488","36970918699.2523","52381006892.038","65266452081.386","88538611205.1433","70307163678.238","83799496611.2004","111789686464.441","128052853643.106","136709862831.194","145712200312.505","116193649124.151","101123851090.455","122123822333.59","101353230784.594","88815697793.303","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","3480355188.60063","3922099470.97313","4348070165.19261","5611492282.86582","7184681398.5698","8052075642.10781","8896073938.31407","10677321490.3807","12881354103.8398","12044223352.5413","11926928505.5231","12890765324.2256","12319830252.4768","12776217194.7928","13228144008.3428","11386846319.1589","11861200797.4706","13019693450.8816","15147020535.3869","15279183289.9372","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","1429049198.45218","1546926174.49664","1755910031.99699","2361726862.30248","2894921777.99851","3159905484.39249","3456442102.622","3952600602.24473","4085630584.44412","3674409558.21061","3449966856.68832","3629203786.19154","3188808942.56713","3193704343.20627","3271808157.30038","2789870187.50693","2896679211.86628","3000180750.11297","3218316013.22626","3154057987.23833","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","735685319268.802","722917010350.548","726832740066.549","821089931822.719","965100949397.812","1186135399898.53","1406002045914.84","1639307043044.79","2080969850135.39","1795740921393.58","2103331412247.86","2494028778449.34","2773499064014.84","2856372458851.04","2894391168409.53","2534723688142.23","2469440154484.43","2516121177762.82","2771384097904.53","2817414584665.11","",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787338325.391","350666031313.819","374590605854.323","390107556160.654","403137100068.074","358135057862.492","357045064669.843","385605506854.881","422215043584.969","421142267937.65","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","643628665302.668","517626700412.718","445445177459.426","",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79781","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7542","10553337672.9872","10546135160.031","11527458565.7334","12457941907.0333","13672802157.8324","",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","514000000","527000000","512000000","503000000","496000000","520000000","563000000","678000000","576000000","574000000","644000000","641000000","642000000","661000000","652000000","602000000","636000000","","",
